time,disp_x_max,disp_z_max,vonmises_max
1.97,-193.71561059982,-28.734879834927,12.982264892729
1.975,-194.31007033502,-28.885824553911,10.329311121656
1.98,-194.93062815085,-28.935819168466,9.7260564299737
1.985,-195.57120692068,-29.05925046002,13.460422696077
1.99,-196.23312957015,-29.099449554735,18.032576250369
1.995,-196.67712871959,-29.195164394284,20.642351738649
2,-195.93342049493,-29.26942794069,22.421322118428
2.005,-195.56704477867,-29.435318150207,23.257137931332
2.01,-195.81962232429,-29.691436263662,21.099957896262
2.015,-196.83955985546,-29.977962155345,17.423776666152
2.02,-198.65396320107,-30.212747901384,10.850030829389
2.025,-201.09561895154,-30.59624486057,3.8576961879649
2.03,-203.31758430461,-30.790461687218,7.1264743553933
2.035,-204.43381317805,-30.777830784443,14.172048467897
2.04,-205.60790108145,-30.806637759127,19.937396433625
2.045,-206.83000182777,-30.921095723553,23.034498992124
2.05,-208.08621329663,-31.091170982953,22.467260357463
2.055,-209.36053588039,-31.319203830247,19.465843358272
2.06,-210.44985279425,-31.616614890423,16.60850211362
2.065,-210.37157357621,-31.903529872247,12.322231405666
2.07,-210.61825604984,-32.138488262952,8.6293028040576
2.075,-211.43390913911,-32.191331662919,9.7277800655278
2.08,-212.96650389354,-32.36159255556,13.573305997426
2.085,-215.22703833407,-32.486385100339,17.91674591239
2.09,-218.0211949559,-32.596478018058,20.622442187957
2.095,-219.98532072466,-32.659598013112,23.20562789271
2.1,-221.34402927264,-32.789798503389,24.128913607186
2.105,-222.74805162452,-32.998674558027,21.731861451357
2.11,-224.22214054313,-33.205593491076,16.404897779217
2.115,-225.78980620336,-33.350475358626,7.8796033151626
2.12,-227.46081655125,-33.642166961321,3.1355488465622
2.125,-228.02242075349,-33.598963389919,11.382173918893
2.13,-228.33283905659,-33.513532666341,19.002071326655
2.135,-229.2281959365,-33.503044583836,25.252319040613
2.14,-230.94865877397,-33.587850553765,27.96910124754
2.145,-233.53776589851,-33.703822154382,25.379954636179
2.15,-236.77975183861,-33.843838979308,19.705961920695
2.155,-238.83202074229,-34.010236888974,13.604907832729
2.16,-240.11639387375,-34.104875858589,10.940968331645
2.165,-241.33735911369,-34.080530160695,13.606023526624
2.17,-242.50591930786,-34.038867175044,16.677243401462
2.175,-243.61282610623,-34.117956879221,22.027941011815
2.18,-244.66592756924,-34.142267716554,24.592759742059
2.185,-245.63260667771,-34.198631545286,24.874846828624
2.19,-244.76963591958,-34.175989390166,24.506305542867
2.195,-244.1633323145,-34.248140952935,23.976744001362
2.2,-244.36949851629,-34.397985509502,20.254862372426
2.205,-245.640794875,-34.456476429573,14.750202825173
2.21,-247.98784310815,-34.557947766014,10.348974929843
2.215,-251.13149234982,-34.872405293742,9.2358392295555
2.22,-253.43772975159,-34.767569958674,15.371060877648
2.225,-254.48142180643,-34.539819527984,21.64263225033
2.23,-255.49128397845,-34.390504125984,27.605532250724
2.235,-256.48209990964,-34.385227136527,29.446998729943
2.24,-257.45556487289,-34.463252512382,26.70185560111
2.245,-258.38996869844,-34.624289996095,22.16434780891
2.25,-259.25257241845,-34.870395908711,16.012371572163
2.255,-258.19475072598,-35.043416757931,10.624952311083
2.26,-257.24055892726,-34.977133426763,11.145050036797
2.265,-257.14665784139,-34.889652837656,13.997923282008
2.27,-258.07862742696,-35.004124139276,19.547983669651
2.275,-259.9051989449,-35.02247956962,23.729594736597
2.28,-262.23691829139,-35.086824558451,25.741815136087
2.285,-262.86194673822,-35.093864407871,29.551154415076
2.29,-263.08415132172,-35.189438961368,30.190222341429
2.295,-263.22856242012,-35.358844200867,26.363343950361
2.3,-263.29254171968,-35.471476104235,20.027457415676
2.305,-263.28674663507,-35.548766556388,11.839181568387
2.31,-263.24822130199,-35.900184019844,7.4932353158091
2.315,-262.97017004675,-35.873634738916,14.20580291171
2.32,-260.70442851633,-35.689955377905,23.880908329035
2.325,-258.9939135827,-35.58894274127,33.167476941621
2.33,-258.28703298188,-35.588463901435,37.417984859413
2.335,-258.72418659357,-35.657042375506,33.994192831573
2.34,-260.13607205353,-35.829627081149,29.127386367671
2.345,-262.12788192423,-36.083958065865,20.840752361478
2.35,-262.42402583787,-36.275228992657,11.610685147912
2.355,-262.27523816399,-36.201847042321,10.612602752294
2.36,-262.154359044,-36.044889651697,17.049155846248
2.365,-262.06861075209,-36.023175332653,26.436885342105
2.37,-262.01628948094,-35.931025933797,31.781787214
2.375,-261.99542271616,-35.904490812429,32.631676792711
2.38,-260.77701790768,-35.890214936041,31.533446254076
2.385,-258.66922492797,-35.920984408367,30.421293007938
2.39,-257.37743462985,-36.049991920137,25.536171021359
2.395,-257.2191336587,-36.094641046317,18.391066420431
2.4,-258.21261686165,-36.183938388915,12.205957623722
2.405,-260.15737743177,-36.425462625897,12.678895027566
2.41,-262.69615286577,-36.277185778952,19.175956935611
2.415,-263.42181078075,-36.002405059872,24.994412932197
2.42,-263.65620278764,-35.807107925527,32.697072455467
2.425,-263.8829529314,-35.71590010786,36.712112746914
2.43,-264.13850885264,-35.707088840026,33.905186599246
2.435,-264.4556777435,-35.83330401272,28.482219165928
2.44,-264.85259359969,-36.08206650671,18.849662854288
2.445,-263.82026939236,-36.294391344499,10.543429763846
2.45,-261.84419176244,-36.050294281706,12.684734086767
2.455,-260.85458489388,-35.847773134797,19.092769561284
2.46,-261.16350648162,-35.80960245534,27.476466919582
2.465,-262.75678999755,-35.725535878079,31.28710525494
2.47,-265.34562288769,-35.717310480555,31.25145247507
2.475,-268.0965485728,-35.752522778371,32.209301720607
2.48,-268.49583992871,-35.787878461814,31.769296511554
2.485,-268.86374831917,-35.938421481617,27.171858803956
2.49,-269.20693023978,-35.902530312583,19.263750194177
2.495,-269.54923055595,-36.094045662202,16.945081086083
2.5,-269.92181106736,-36.514889506855,15.395714063026
2.505,-270.34883113928,-36.512647616413,19.994987451762
2.51,-268.55259213381,-36.400908267528,29.733743273314
2.515,-266.55901205847,-36.34094999501,38.881068754941
2.52,-265.70889010183,-36.370356390753,42.173186867316
2.525,-266.32861521996,-36.503381683647,37.293335987816
2.53,-268.42090900808,-36.769615248372,30.975438703993
2.535,-271.67511293941,-37.136723547484,20.065820018566
2.54,-275.1336290594,-37.50864445853,5.9229932924655
2.545,-275.87503476476,-37.349887004816,11.264519848778
2.55,-276.53323465279,-37.224551090872,24.232182143145
2.555,-277.11028755208,-37.269460745383,34.975999868549
2.56,-277.64345709448,-37.329857057186,39.804290350625
2.565,-278.17582338144,-37.492521416427,38.744784881532
2.57,-278.72757695693,-37.753026575073,33.892239983668
2.575,-277.18944290451,-38.003235071914,27.644102612693
2.58,-274.7734277845,-38.235562476451,23.261263287438
2.585,-273.56300141468,-38.165125410003,20.938161135156
2.59,-273.96620648041,-38.397928817834,20.908043195845
2.595,-275.98939158032,-38.816456519905,22.588516215532
2.6,-279.25072861506,-38.917476966322,27.090819340812
2.605,-282.16116436815,-38.966722479956,28.802200416789
2.61,-282.63384349065,-38.965177082507,35.940546621005
2.615,-283.11988284692,-39.020746100828,38.199564527758
2.62,-283.62758883939,-39.176946188585,33.85876780254
2.625,-284.16654112522,-39.474592445688,27.45894393499
2.63,-284.73353695472,-39.953219976286,16.235387826306
2.635,-285.32162785475,-40.396185361103,2.5670475216744
2.64,-282.93252495225,-40.220468700491,13.214832376478
2.645,-280.84900244583,-40.113455268233,25.294916803408
2.65,-280.10335049358,-40.061318764146,34.538537559567
2.655,-281.02143811045,-40.115348578894,37.561760794709
2.66,-283.50988611774,-40.28803138082,34.803482737454
2.665,-287.10092460733,-40.591022952638,30.080091606288
2.67,-289.76405614839,-40.900131629022,26.774238411903
2.675,-290.53438526358,-41.120375825593,22.352117740134
2.68,-291.30842504496,-41.011505334688,18.139104529419
2.685,-292.05438647334,-41.216619435823,20.069290666198
2.69,-292.76132869602,-41.534241590675,22.520770745703
2.695,-293.43998046766,-41.600165022791,25.867973885831
2.7,-294.11148247367,-41.713799403884,28.680854552939
2.705,-292.0039172021,-41.765057795998,37.012314133789
2.71,-290.17305768231,-41.823599201205,38.759917577693
2.715,-289.59240562004,-41.962371833567,34.897319347338
2.72,-290.58997177591,-42.213776762822,28.411585362075
